trips,mmsi,time,lat,lon,sog,cog,vessel_type,flag
11.0,338234637.0,2020-05-16 12:25:09,37.914,-122.354,0.0,360.0,30.0,United States of America
11.0,338234637.0,2020-05-16 13:42:58,37.8032,-122.6693,2.3,242.8,30.0,United States of America
11.0,338234637.0,2020-05-16 13:44:13,37.8032,-122.6698,0.6,268.5,30.0,United States of America
11.0,338234637.0,2020-05-16 14:56:33,37.9114,-122.3541,6.4,1.6,30.0,United States of America
11.0,338234637.0,2020-05-16 14:57:46,37.9134,-122.3539,4.7,2.5,30.0,United States of America
11.0,338234637.0,2020-06-11 18:37:16,37.9148,-122.355,0.0,360.0,30.0,United States of America
12.0,338312677.0,2020-05-16 18:57:36,37.8465,-122.6555,9.2,290.4,30.0,United States of America
12.0,338312677.0,2020-05-16 19:48:37,37.8926,-122.7956,8.6,299.4,30.0,United States of America
13.0,338314868.0,2020-04-16 21:50:58,37.87,-122.4992,0.0,360.0,30.0,United States of America
13.0,338314868.0,2020-04-17 20:56:52,37.87,-122.4993,0.0,360.0,30.0,United States of America
13.0,338314868.0,2020-04-30 23:50:41,38.4074,-122.7512,0.0,360.0,30.0,United States of America
13.0,338314868.0,2020-05-01 12:41:03,37.9139,-122.3542,0.0,360.0,30.0,United States of America
13.0,338314868.0,2020-05-01 12:44:32,37.9139,-122.354,1.5,91.1,30.0,United States of America
13.0,338314868.0,2020-05-01 14:50:59,37.7128,-122.7295,5.0,207.7,30.0,United States of America
13.0,338314868.0,2020-05-01 14:52:27,37.711,-122.7314,4.0,275.3,30.0,United States of America
13.0,338314868.0,2020-05-02 00:52:00,37.9148,-122.355,0.0,360.0,30.0,United States of America
13.0,338314868.0,2020-05-02 00:53:57,37.9149,-122.3551,3.2,321.8,30.0,United States of America
13.0,338314868.0,2020-05-02 01:46:35,38.4072,-122.7481,25.6,269.7,30.0,United States of America
13.0,338314868.0,2020-05-02 01:47:40,38.4075,-122.7512,1.2,3.9,30.0,United States of America
13.0,338314868.0,2020-05-17 01:02:44,38.1143,-122.5065,0.0,360.0,30.0,United States of America
13.0,338314868.0,2020-05-19 00:42:21,38.4074,-122.7512,0.0,360.0,30.0,United States of America
13.0,338314868.0,2020-06-11 18:20:13,38.3871,-122.7409,23.3,89.8,30.0,United States of America
13.0,338314868.0,2020-06-11 19:06:39,37.9159,-122.36,25.8,175.0,30.0,United States of America
13.0,338314868.0,2020-06-11 19:07:44,37.9137,-122.3552,5.1,63.9,30.0,United States of America
13.0,338314868.0,2020-06-12 02:18:46,37.9088,-122.3566,5.3,87.8,30.0,United States of America
13.0,338314868.0,2020-06-12 02:20:02,37.909,-122.3546,4.3,72.4,30.0,United States of America
13.0,338314868.0,2020-06-12 02:54:44,37.9148,-122.3548,0.0,360.0,30.0,United States of America
13.0,338314868.0,2020-06-14 22:07:40,38.4074,-122.7512,0.0,360.0,30.0,United States of America
13.0,338314868.0,2020-06-30 21:13:52,38.4074,-122.7512,0.0,360.0,30.0,United States of America
14.0,338322655.0,2020-06-22 19:09:30,37.6012,-122.6857,7.7,309.5,30.0,United States of America
14.0,338322655.0,2020-06-22 19:29:01,37.6132,-122.7246,6.4,245.2,30.0,United States of America
